Niveles y tasas;Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Periodo;Total
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2023T2;115,6271
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2023T3;116,5403
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2023T4;117,4591
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2024T1;118,7664
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2024T2;119,8579
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2024T3;120,7749
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2024T4;121,7577
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2025T1;122,4255
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2025T2;123,3001
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2025T3;124,0358
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2025T4;124,9880
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2026T1;125,7679
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2026T2;126,6395
